Season,G,Team,Name,Date,At,Opp,W/L,OPts,Location,DPts,Opp_Name,ORtg,DRtg,Pace,Win
2024,28,DEN,Denver Nuggets,12/18/2023,,DAL,W,130,Home,104,Dallas Mavericks,137,109.6,94.9,1
2024,29,DEN,Denver Nuggets,12/20/2023,@,TOR,W,113,Away,104,Toronto Raptors,121.1,111.4,93.3,1
2024,30,DEN,Denver Nuggets,12/22/2023,@,BRK,W,122,Away,117,Brooklyn Nets,128.7,123.5,94.8,1
2024,31,DEN,Denver Nuggets,12/23/2023,@,CHO,W,102,Away,95,Charlotte Hornets,102.9,95.8,99.1,1
2024,32,DEN,Denver Nuggets,12/25/2023,,GSW,W,120,Home,114,Golden State Warriors,122.5,116.3,98,1
2024,33,DEN,Denver Nuggets,12/28/2023,,MEM,W,142,Home,105,Memphis Grizzlies,143.7,106.3,98.8,1
2024,34,DEN,Denver Nuggets,12/29/2023,,OKC,L,93,Home,119,Oklahoma City Thunder,93,119,100,0
2024,35,DEN,Denver Nuggets,1/1/2024,,CHO,W,111,Home,93,Charlotte Hornets,114.3,95.7,97.1,1
2024,36,DEN,Denver Nuggets,1/4/2024,@,GSW,W,130,Away,127,Golden State Warriors,138.3,135.1,94,1
2024,37,DEN,Denver Nuggets,1/5/2024,,ORL,L,120,Home,122,Orlando Magic,118.7,120.7,101.1,0
2024,38,DEN,Denver Nuggets,1/7/2024,,DET,W,131,Home,114,Detroit Pistons,132.5,115.3,98.9,1
2024,39,DEN,Denver Nuggets,1/10/2024,@,UTA,L,111,Away,124,Utah Jazz,111.1,124.1,99.9,0
2024,40,DEN,Denver Nuggets,1/12/2024,,NOP,W,125,Home,113,New Orleans Pelicans,125.3,113.3,99.7,1
2024,41,DEN,Denver Nuggets,1/14/2024,,IND,W,117,Home,109,Indiana Pacers,118.6,110.5,98.7,1
2024,42,DEN,Denver Nuggets,1/16/2024,@,PHI,L,121,Away,126,Philadelphia 76ers,130.8,136.2,92.5,0
2024,43,DEN,Denver Nuggets,1/19/2024,@,BOS,W,102,Away,100,Boston Celtics,120.1,117.8,84.9,1
2024,44,DEN,Denver Nuggets,1/21/2024,@,WAS,W,113,Away,104,Washington Wizards,114.7,105.5,98.6,1
2024,45,DEN,Denver Nuggets,1/23/2024,@,IND,W,114,Away,109,Indiana Pacers,119.2,114,95.6,1
2024,46,DEN,Denver Nuggets,1/25/2024,@,NYK,L,84,Away,122,New York Knicks,92,133.6,91.3,0
2024,47,DEN,Denver Nuggets,1/27/2024,,PHI,W,111,Home,105,Philadelphia 76ers,121,114.5,91.7,1
2024,48,DEN,Denver Nuggets,1/29/2024,,MIL,W,113,Home,107,Milwaukee Bucks,114.8,108.7,98.4,1
2024,49,DEN,Denver Nuggets,1/31/2024,@,OKC,L,100,Away,105,Oklahoma City Thunder,105.8,111.1,94.5,0
2024,50,DEN,Denver Nuggets,2/2/2024,,POR,W,120,Home,108,Portland Trail Blazers,133.9,120.5,89.6,1
2024,51,DEN,Denver Nuggets,2/4/2024,,POR,W,112,Home,103,Portland Trail Blazers,129.2,118.8,86.7,1
