Season,G,Team,Name,Date,At,Opp,W/L,OPts,Location,DPts,Opp_Name,ORtg,DRtg,Pace,Win
2019,40,DAL,Dallas Mavericks,2019-01-07,,LAL,L,97,Home,107,Los Angeles Lakers,94.8,104.5,102.4,0
2019,41,DAL,Dallas Mavericks,2019-01-09,,PHO,W,104,Home,94,Phoenix Suns,105.3,95.1,98.8,1
2019,42,DAL,Dallas Mavericks,2019-01-11,@,MIN,W,119,Away,115,Minnesota Timberwolves,118.9,114.9,100.1,1
2019,43,DAL,Dallas Mavericks,2019-01-13,,GSW,L,114,Home,119,Golden State Warriors,120.3,125.6,94.8,0
2019,44,DAL,Dallas Mavericks,2019-01-16,,SAS,L,101,Home,105,San Antonio Spurs,116.8,121.5,86.5,0
2019,45,DAL,Dallas Mavericks,2019-01-19,@,IND,L,99,Away,111,Indiana Pacers,106.3,119.1,93.2,0
2019,46,DAL,Dallas Mavericks,2019-01-21,@,MIL,L,106,Away,116,Milwaukee Bucks,101.1,110.7,104.8,0
2019,47,DAL,Dallas Mavericks,2019-01-22,,LAC,W,106,Home,98,Los Angeles Clippers,112.6,104.1,94.2,1
2019,48,DAL,Dallas Mavericks,2019-01-25,,DET,W,106,Home,101,Detroit Pistons,113.9,108.5,93.1,1
2019,49,DAL,Dallas Mavericks,2019-01-27,,TOR,L,120,Home,123,Toronto Raptors,118.8,121.8,101.0,0
2019,50,DAL,Dallas Mavericks,2019-01-30,@,NYK,W,114,Away,90,New York Knicks,116.8,92.2,97.6,1
2019,51,DAL,Dallas Mavericks,2019-01-31,@,DET,L,89,Away,93,Detroit Pistons,98.2,102.6,90.7,0
2019,52,DAL,Dallas Mavericks,2019-02-02,@,CLE,W,111,Away,98,Cleveland Cavaliers,118.6,104.7,93.6,1
2019,53,DAL,Dallas Mavericks,2019-02-06,,CHO,W,99,Home,93,Charlotte Hornets,100.1,94.0,98.9,1
